epoch,accuracy,average_precision,loss,val_accuracy,val_average_precision,val_loss
0,0.8204996,0.64373153,0.39615557641683224,0.8392319,0.7177611,0.3661190221108586
1,0.8352358,0.6874267,0.36543175616039486,0.8403614,0.73393583,0.38947069914226073
2,0.84360963,0.7130736,0.35197047773235574,0.8377259,0.76518464,0.36252868390945064
3,0.84824103,0.72246295,0.34737973524157156,0.84563255,0.70056367,0.35687851510852214
4,0.8486153,0.7208521,0.34144042033010613,0.8377259,0.7580035,0.35671578419495775
5,0.8508608,0.7245007,0.3343091330039287,0.83998495,0.7501004,0.3620938056384225
6,0.8532934,0.7286851,0.33139617172276187,0.844503,0.76559097,0.3502707152840603
7,0.8540887,0.72929996,0.32599931539309596,0.8501506,0.76621735,0.3451950255646763
8,0.85703593,0.7288221,0.3203358153204718,0.844503,0.75167334,0.3568453501506024
9,0.8594218,0.74220324,0.3141271481569299,0.84186745,0.7325014,0.36897938438208705
