epoch,accuracy,average_precision,f1_score,loss,val_accuracy,val_average_precision,val_f1_score,val_loss
0,0.81038034,0.60778326,0.5039836,0.42323631753753094,0.77736133,0.09523809,0.032447416,0.503524912255151
1,0.83539444,0.6893821,0.56510484,0.37313967626154454,0.81409293,0.5664081,0.6073708,0.4536824698249499
2,0.8412966,0.7038555,0.5846263,0.36085079330305314,0.84782606,0.7372874,0.569835,0.3433927567232223
3,0.84265506,0.7069877,0.5881169,0.352769535270125,0.85194904,0.7127997,0.61933297,0.3379275101636137
4,0.84537196,0.7226009,0.5905211,0.34581880377044005,0.84782606,0.76252836,0.5669761,0.3430537288742406
5,0.85005623,0.7293921,0.61105365,0.3394914616401195,0.8482009,0.7605961,0.5664765,0.3716466576747951
6,0.849822,0.7203763,0.6113556,0.33484121580259707,0.8511994,0.6805247,0.63302076,0.33890624202433084
7,0.85155517,0.7266676,0.6143949,0.3296532797396284,0.8448276,0.7009353,0.59955937,0.336019981829893
8,0.8558647,0.73996603,0.62699705,0.3241341106784864,0.84970015,0.67293036,0.62550116,0.3621388899073714
9,0.8583942,0.74191546,0.6356992,0.3172582354363775,0.8429535,0.77762187,0.53793424,0.4283642501880725
