epoch,accuracy,average_precision,f1_score,loss,val_accuracy,val_average_precision,val_f1_score,val_loss
0,0.83005434,0.66048896,0.53122544,0.373535129946114,0.80547225,0.60555553,0.3313208,0.445322148501873
1,0.84035975,0.7007857,0.5838464,0.35354203288421576,0.8332084,0.7763747,0.45947793,0.3792284456569524
2,0.8427019,0.70747113,0.5910514,0.3514674135572972,0.8388306,0.7769275,0.49417824,0.4043915732098477
3,0.8427019,0.70894194,0.58740926,0.34522615558526615,0.8305847,0.8101191,0.44189975,0.4143628098425411
4,0.84579355,0.71346635,0.5985779,0.34517022578127043,0.797976,0.5257936,0.18502077,1.123078022290775
5,0.8463556,0.7143094,0.59994733,0.34128427972602826,0.8369565,0.771783,0.50205517,0.45516782865992617
6,0.8475267,0.7117272,0.60559934,0.3381491796519619,0.7777361,0.035714284,0.011904761,1.3598654887450503
7,0.8586753,0.7413047,0.637875,0.3216292712630148,0.85382307,0.7211026,0.61395633,0.3258062706639369
8,0.8567547,0.7315988,0.6341497,0.3172560701750851,0.8482009,0.69178474,0.6096961,0.3254189977333659
9,0.8620948,0.74646723,0.64548755,0.30883728121860166,0.8482009,0.6930594,0.61043423,0.33198391805802074
